26,21,22,23,24,25,24,25,24
26,24,27,27,27,28,27,30,28
25,29,30,29,28,28,27,30,27
25,25,27,27,27,27,27,31,29
25,26,27,26,27,27,27,30,31
25,29,29,26,27,28,27,27,29
25,30,33,30,27,28,27,28,30
25,30,32,31,28,28,27,29,31
25,29,32,29,27,28,27,29,31
26,27,31,31,32,29,28,30,31
25,27,29,31,30,28,27,29,28
25,26,26,29,28,30,26,28,27
25,25,26,29,25,29,26,28,24
23,23,23,24,25,25,24,26,25
26,27,25,27,28,28,28,29,28
25,25,26,27,28,26,26,28,28
29,28,29,30,30,31,31,33,31
26,26,26,28,30,31,31,32,31
28,29,31,30,29,33,31,36,32
25,26,28,28,27,28,28,33,30
26,26,29,27,28,29,28,31,30
28,27,32,29,30,30,30,33,32
26,26,32,26,29,29,31,31,30
25,26,27,27,27,32,32,30,29
25,26,28,29,28,31,30,31,29
27,28,28,28,30,32,31,31,30
27,26,28,29,31,32,30,31,30
27,27,28,28,30,31,30,32,30
27,27,27,31,28,31,30,32,28
25,24,26,27,27,28,27,29,26
25,26,25,27,28,26,26,28,26
25,24,25,25,26,27,26,28,28
